objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,redshift,plate,mjd,fiberid,class
1.24E+18,50.82706727,0.93987512,18.73592,17.4272,16.80908,16.47318,16.18574,109,301,6,108,4.65E+17,0.03646222,413,51821,615,GALAXY
1.24E+18,50.9079312,0.991258724,19.39842,18.40464,18.17116,18.03709,17.93543,109,301,6,108,1.20E+18,0.0222007,1064,52577,333,GALAXY
1.24E+18,50.78679724,1.026598534,19.50301,18.32952,17.64112,17.26048,17.0331,109,301,6,108,4.66E+17,0.1380212,414,51869,327,GALAXY
1.24E+18,52.93588065,1.047554389,18.82219,17.61563,17.08038,16.80011,16.65407,109,301,6,122,4.67E+17,0.03101574,415,51810,375,GALAXY
1.24E+18,54.82473671,1.046928799,18.18402,16.48214,15.80072,15.61333,16.15156,109,301,6,135,8.25E+18,0.000409717,7331,56658,714,STAR
1.24E+18,55.09429591,0.912256992,19.27545,18.16917,17.65645,17.43523,17.34202,109,301,6,136,8.25E+18,0.000709611,7331,56658,755,STAR
1.24E+18,55.05316751,0.885874143,18.97349,17.54252,17.04639,16.81821,16.66867,109,301,6,136,4.68E+17,0.03877712,416,51811,403,GALAXY
1.24E+18,55.14054397,0.896118204,19.29174,17.77633,17.14245,16.88806,16.74913,109,301,6,137,3.55E+18,-2.79E-05,3156,54792,423,STAR
1.24E+18,55.19033309,1.016466555,18.65015,16.75544,15.99424,15.71494,15.58503,109,301,6,137,8.25E+18,0.000113927,7331,56658,794,STAR
1.24E+18,55.22721371,1.030400137,19.23016,17.46111,16.68479,16.35664,16.1784,109,301,6,137,8.25E+18,9.63E-05,7331,56658,783,STAR
1.24E+18,55.25578886,0.898026169,17.43358,17.81857,18.25114,18.57193,18.89722,109,301,6,137,4.69E+17,5.34E-05,416,51811,458,STAR
1.24E+18,55.1236253,0.872487206,18.29589,16.52947,15.61466,15.09457,14.63546,109,301,6,137,4.68E+17,0.0406868,416,51811,415,GALAXY
1.24E+18,55.32006591,0.883421923,17.27455,16.14819,15.72749,15.57004,15.50722,109,301,6,138,1.71E+18,5.19E-05,1518,52937,420,STAR
1.24E+18,55.33427706,0.914010236,17.97655,16.74161,16.26678,16.0925,16.02395,109,301,6,138,8.25E+18,-2.15E-05,7331,56658,798,STAR
1.24E+18,55.33701954,0.960701933,17.32008,16.02088,15.51375,15.32299,15.25951,109,301,6,138,8.25E+18,0.000104116,7331,56658,787,STAR
1.24E+18,55.35695367,0.862802684,18.46397,16.68569,15.98719,15.73248,15.61455,109,301,6,138,8.25E+18,-0.000174576,7331,56658,790,STAR
1.24E+18,55.39207166,0.857934487,17.35126,16.21682,15.83312,15.69623,15.64447,109,301,6,138,8.25E+18,-8.48E-05,7331,56658,837,STAR
1.24E+18,55.42141309,0.916888258,18.08884,16.77694,16.28134,16.09963,16.03073,109,301,6,139,8.25E+18,0.000182542,7331,56658,838,STAR
1.24E+18,183.5313257,0.08969303,19.47406,17.0424,15.94699,15.50342,15.22531,752,301,4,267,3.72E+18,-8.96E-06,3306,54922,491,STAR
1.24E+18,183.5983705,0.135285032,18.6628,17.21449,16.67637,16.48922,16.3915,752,301,4,267,3.64E+17,-5.49E-05,323,51615,541,STAR
1.24E+18,183.6802074,0.126185092,19.38298,18.19169,17.47428,17.08732,16.80125,752,301,4,268,3.23E+17,0.1231112,287,52023,513,GALAXY
1.24E+18,183.8705294,0.049910685,17.76536,16.60272,16.16116,15.98233,15.90438,752,301,4,269,3.72E+18,-0.000110616,3306,54922,510,STAR
1.24E+18,183.8832883,0.102556752,17.55025,16.26342,16.43869,16.55492,16.61326,752,301,4,269,3.72E+18,0.000590357,3306,54922,512,STAR
1.24E+18,183.8471736,0.173694164,19.43133,18.46779,18.16451,18.01475,18.04155,752,301,4,269,3.65E+17,0.000314603,324,51666,594,STAR
1.24E+18,183.864379,0.019200711,19.38322,17.88995,17.10537,16.66393,16.36955,752,301,4,269,3.23E+17,0.1002423,287,52023,559,GALAXY
1.24E+18,183.9000814,0.187473297,18.97993,17.84496,17.38022,17.20673,17.07071,752,301,4,269,3.72E+18,0.000314848,3306,54922,515,STAR
1.24E+18,183.9245885,0.097245782,17.90616,16.97172,16.67541,16.53776,16.47596,752,301,4,270,3.64E+17,8.91E-05,323,51615,595,STAR
1.24E+18,183.9734977,0.081625582,18.67249,17.71375,17.49362,17.28284,17.22644,752,301,4,270,3.24E+17,0.04050813,288,52000,400,GALAXY
1.24E+18,183.9791945,0.135997822,19.29772,17.80227,17.18266,16.92335,16.79928,752,301,4,270,3.72E+18,-3.46E-05,3306,54922,506,STAR
1.24E+18,184.0853311,0.112110022,18.83307,17.51785,16.94273,16.71418,16.60521,752,301,4,271,3.72E+18,0.000622774,3306,54922,547,STAR
1.24E+18,184.1020979,0.191510916,19.5625,18.19113,17.65759,17.47573,17.39203,752,301,4,271,3.72E+18,5.47E-05,3306,54922,544,STAR
1.24E+18,184.1605102,0.075645313,19.5799,17.72815,16.9874,16.68076,16.50426,752,301,4,271,3.72E+18,8.30E-06,3306,54922,546,STAR
1.24E+18,184.1895738,0.099482468,19.25667,17.54869,16.63578,16.14922,15.76639,752,301,4,271,3.24E+17,0.07208736,288,52000,389,GALAXY
1.24E+18,184.3506466,0.207229523,18.73832,18.60962,18.39696,18.31174,17.97663,752,301,4,272,3.23E+17,0.2719369,287,52023,587,QSO
1.24E+18,184.2217972,0.046955181,19.05958,18.09512,17.92766,17.8927,17.90772,752,301,4,272,3.65E+17,0.000209974,324,51666,35,STAR
1.24E+18,184.2456643,0.198257077,19.22143,19.30248,19.13823,19.11351,19.23454,752,301,4,272,3.23E+17,1.178098,287,52023,583,QSO
1.24E+18,184.3888696,0.068287428,19.04397,17.51106,16.87335,16.61114,16.48303,752,301,4,273,3.64E+17,0.000240098,323,51615,628,STAR
1.24E+18,184.3809191,0.17432277,17.81661,16.86976,16.53884,16.19576,16.08668,752,301,4,273,3.23E+17,0.07277206,287,52023,632,GALAXY
1.24E+18,184.4668531,0.111965321,19.3932,18.48274,18.16551,18.05122,18.04328,752,301,4,273,3.65E+17,-0.000270218,324,51666,623,STAR
1.24E+18,184.5694109,0.137091485,17.51339,16.41793,16.06695,15.93751,15.89478,752,301,4,274,3.24E+17,-3.55E-05,288,52000,430,STAR
1.24E+18,184.6541703,0.122673446,19.07731,18.64518,18.49678,18.52677,18.45765,752,301,4,274,3.24E+17,0.9251733,288,52000,421,QSO
1.24E+18,184.6587955,0.159935507,18.63032,17.23437,16.72749,16.51772,16.44039,752,301,4,274,2.88E+18,4.31E-06,2558,54140,356,STAR
1.24E+18,184.5168342,0.145549586,19.21684,18.29956,18.19589,18.14758,18.26658,752,301,4,274,3.72E+18,8.80E-05,3306,54922,595,STAR
1.24E+18,184.6185631,0.080576269,19.4127,17.47109,16.4987,16.06502,15.66848,752,301,4,274,3.24E+17,0.1167829,288,52000,437,GALAXY
1.24E+18,184.6274079,0.013234086,18.48543,17.339,16.90179,16.66712,16.48684,752,301,4,274,3.23E+17,0.02129653,287,52023,637,GALAXY
1.24E+18,184.6767619,0.059441869,17.72835,16.19783,15.66073,15.51586,15.43615,752,301,4,275,2.88E+18,0.000175365,2558,54140,358,STAR
1.24E+18,184.7119696,0.066571901,17.70824,16.61069,16.19772,16.0625,16.00229,752,301,4,275,3.72E+18,0.00017238,3306,54922,632,STAR
1.24E+18,184.7702039,0.19801005,18.18974,17.23738,16.89113,16.75727,16.71052,752,301,4,275,2.88E+18,0.000519808,2558,54140,349,STAR
1.24E+18,184.7826977,0.140979369,19.0764,17.78953,16.98818,16.60519,16.27859,752,301,4,275,3.24E+17,0.1169446,288,52000,474,GALAXY
1.24E+18,184.7651553,0.080985794,19.18013,18.07133,17.71771,17.48797,17.55667,752,301,4,275,3.24E+17,0.06807999,288,52000,471,GALAXY
1.24E+18,184.8635981,0.143469363,18.38848,17.00188,16.37884,16.16978,16.0124,752,301,4,276,2.88E+18,0.000135947,2558,54140,341,STAR
1.24E+18,184.8641903,0.143441662,17.93407,16.64581,16.22206,16.07029,16.06046,752,301,4,276,2.89E+18,0.000158087,2568,54153,383,STAR
1.24E+18,184.8755286,0.033060812,19.03059,18.10673,17.82561,17.71227,17.6878,752,301,4,276,2.88E+18,-0.000167378,2558,54140,355,STAR
1.24E+18,184.8763144,0.185151372,18.12978,17.17421,16.75108,16.5884,16.48527,752,301,4,276,2.88E+18,0.000692428,2558,54140,387,STAR
1.24E+18,184.9569855,0.156360267,18.15079,16.77761,16.2215,16.02345,15.91957,752,301,4,276,2.88E+18,0.000304361,2558,54140,386,STAR
1.24E+18,184.8321997,0.044306547,19.52092,17.58562,16.4269,15.94473,15.56269,752,301,4,276,3.24E+17,0.1506381,288,52000,479,GALAXY
1.24E+18,184.9722153,0.097754241,18.90592,17.46608,16.85369,16.58687,16.41878,752,301,4,277,2.88E+18,0.00057828,2558,54140,395,STAR
1.24E+18,184.9942751,0.109160933,17.7019,16.76073,16.48746,16.38173,16.33654,752,301,4,277,2.88E+18,0.000704736,2558,54140,400,STAR
1.24E+18,185.0012555,0.069723829,18.85351,17.97745,17.6112,17.45679,17.40576,752,301,4,277,4.33E+18,-0.000676195,3846,55327,160,STAR
1.24E+18,185.0650695,0.142442894,18.75478,17.58247,17.08046,16.87063,16.75911,752,301,4,277,2.88E+18,-0.000503256,2558,54140,390,STAR
1.24E+18,185.0859131,0.099953851,18.33616,17.30684,16.92903,16.78272,16.73807,752,301,4,277,2.88E+18,7.61E-05,2558,54140,397,STAR
1.24E+18,185.0273854,0.095346099,19.1713,18.01316,17.42493,17.04493,16.82237,752,301,4,277,3.24E+17,0.1183854,288,52000,496,GALAXY
1.24E+18,185.0363883,0.17667755,19.12083,17.92189,17.18494,16.7895,16.52258,752,301,4,277,3.24E+17,0.1575296,288,52000,514,GALAXY
1.24E+18,185.1643757,0.074358069,17.55001,17.42367,17.35734,17.19343,16.97589,752,301,4,278,3.24E+17,2.044347,288,52000,516,QSO
1.24E+18,185.2170514,0.155193816,18.89707,18.04519,17.7501,17.6378,17.6124,752,301,4,278,2.88E+18,0.000250291,2558,54140,431,STAR
1.24E+18,185.1367288,0.071514063,19.48347,17.51522,16.31651,15.83499,15.4368,752,301,4,278,3.24E+17,0.1585163,288,52000,502,GALAXY
1.24E+18,185.2306077,0.010099581,19.31764,18.38629,18.12009,17.9998,17.93916,752,301,4,278,2.89E+18,0.000576704,2568,54153,270,STAR
1.24E+18,185.3772509,0.200803727,17.964,16.39632,15.74191,15.4828,15.32453,752,301,4,279,2.88E+18,0.000349798,2558,54140,422,STAR
1.24E+18,55.45125252,0.919398622,18.35307,17.20436,16.7802,16.59563,16.52967,109,301,6,139,8.25E+18,-3.54E-07,7331,56658,840,STAR
1.24E+18,55.48060409,1.041396896,18.80733,17.51745,16.94362,16.70213,16.56415,109,301,6,139,8.25E+18,-8.95E-05,7331,56658,828,STAR
1.24E+18,55.52349974,0.938594634,19.15007,17.08453,16.27119,15.97778,15.82429,109,301,6,139,8.25E+18,0.000215009,7331,56658,839,STAR
1.24E+18,55.54596332,0.866700691,18.10033,16.87099,16.69033,16.64522,16.62379,109,301,6,139,8.25E+18,-2.48E-05,7331,56658,835,STAR
1.24E+18,55.59012356,0.896316458,19.16749,18.55299,17.69763,17.3443,17.09744,109,301,6,140,1.20E+18,4.77E-05,1062,52619,401,STAR
1.24E+18,55.63246604,0.912171833,19.42838,17.75452,17.11396,16.88803,16.73496,109,301,6,140,8.04E+17,2.36E-05,714,52201,458,STAR
1.24E+18,55.6351766,1.046413237,18.52349,17.48975,16.90494,16.73441,16.59008,109,301,6,140,8.25E+18,-0.000735287,7331,56658,864,STAR
1.24E+18,55.58549933,1.021475522,18.80279,17.16058,16.46665,16.05672,15.76566,109,301,6,140,4.68E+17,0.03758542,416,51811,445,GALAXY
1.24E+18,55.59362538,1.000028204,19.20572,18.09703,17.64738,17.3227,17.13651,109,301,6,140,4.68E+17,0.07229859,416,51811,449,GALAXY
1.24E+18,55.72970842,0.903397594,17.34062,15.97131,15.43069,15.21917,15.09811,109,301,6,141,8.25E+18,9.79E-05,7331,56658,869,STAR
1.24E+18,55.81069754,0.873287738,19.10415,17.34366,16.53993,16.2379,16.06456,109,301,6,141,8.25E+18,1.09E-05,7331,56658,914,STAR
1.24E+18,55.83199633,0.890833609,19.45624,17.6463,16.66085,16.17872,15.78058,109,301,6,141,4.69E+17,0.1004212,416,51811,533,GALAXY
1.24E+18,56.00777704,0.958571204,17.42095,16.24123,15.79463,15.63077,15.5545,109,301,6,143,1.71E+18,-5.32E-05,1518,52937,576,STAR
1.24E+18,56.02733053,0.935180958,19.23866,16.96023,15.93041,15.5335,15.30588,109,301,6,143,8.25E+18,0.000110041,7331,56658,947,STAR
1.24E+18,56.04249932,0.898082277,19.45194,18.04491,17.43622,17.20393,17.07049,109,301,6,143,8.25E+18,-3.82E-05,7331,56658,945,STAR
1.24E+18,56.27325484,0.871282913,19.59882,18.27969,17.68823,17.46187,17.32273,109,301,6,144,3.55E+18,-0.000234872,3156,54792,626,STAR
1.24E+18,56.3090189,0.862425536,18.39997,17.01328,16.47039,16.2556,16.15533,109,301,6,145,1.71E+18,7.55E-05,1518,52937,618,STAR
1.24E+18,56.31589847,0.883089668,19.51782,17.10884,15.99188,15.55249,15.29628,109,301,6,145,3.55E+18,1.60E-05,3156,54792,637,STAR
1.24E+18,56.40051758,1.047527933,18.41458,17.24187,16.83248,16.69045,16.63555,109,301,6,145,1.71E+18,-0.000191504,1518,52937,610,STAR
1.24E+18,56.33899814,0.867872907,19.3949,17.55328,16.67647,16.23977,15.92742,109,301,6,145,4.69E+17,0.04000779,416,51811,619,GALAXY
1.24E+18,56.50832314,0.860125253,18.52236,17.25557,16.70039,16.486,16.41004,109,301,6,146,1.20E+18,0.000105359,1062,52619,574,STAR
1.24E+18,56.51789951,0.885067352,19.03764,17.41195,16.69575,16.31307,16.03388,109,301,6,146,1.20E+18,0.04860179,1062,52619,601,GALAXY
1.24E+18,56.51254931,1.001789429,19.34081,17.4364,16.26172,15.73096,15.39041,109,301,6,146,1.20E+18,0.1860474,1062,52619,566,GALAXY
1.24E+18,56.61113742,0.937102531,19.10682,17.91204,17.40367,17.19505,17.11047,109,301,6,147,1.20E+18,-0.000192821,1062,52619,604,STAR
1.24E+18,56.6662607,0.940335446,19.09904,17.22988,16.49899,16.22672,16.09269,109,301,6,147,1.72E+18,0.000103155,1529,52930,357,STAR
1.24E+18,56.78138702,1.000342938,18.52316,16.42145,15.39282,14.8915,14.48816,109,301,6,148,1.40E+18,0.03984664,1242,52901,331,GALAXY
1.24E+18,56.84742003,0.875487656,17.86614,15.8951,14.91003,14.40679,14.0132,109,301,6,148,1.40E+18,0.0393708,1242,52901,333,GALAXY
1.24E+18,57.24838495,0.925978888,18.36343,16.25293,15.26318,14.77139,14.38668,109,301,6,151,1.40E+18,0.035788,1242,52901,409,GALAXY
1.24E+18,57.26897004,0.899273029,19.33094,18.15693,17.47152,17.03564,16.77094,109,301,6,151,1.72E+18,0.1095298,1529,52930,439,GALAXY
1.24E+18,57.28921212,0.891086409,19.31142,17.97749,17.24931,16.78519,16.4514,109,301,6,151,1.40E+18,0.1091017,1242,52901,402,GALAXY
1.24E+18,57.52075961,0.974768684,19.41303,18.22692,17.49884,17.07274,16.82814,109,301,6,153,1.40E+18,0.1641361,1242,52901,442,GALAXY
1.24E+18,57.67471988,1.040754855,17.96895,16.01296,15.00942,14.51186,14.12856,109,301,6,154,1.40E+18,0.0371233,1242,52901,533,GALAXY
1.24E+18,58.21248812,1.040196,18.91658,17.84064,17.33773,17.13683,17.0171,109,301,6,157,1.84E+18,0.000904975,1633,52998,608,STAR
1.24E+18,58.24875454,0.9110741,18.86279,17.52286,16.76597,16.33175,15.97925,109,301,6,157,1.40E+18,0.03801756,1242,52901,614,GALAXY
1.24E+18,58.28764162,0.935633356,18.00205,16.70538,16.16278,15.92646,15.80014,109,301,6,158,1.84E+18,5.39E-05,1633,52998,612,STAR
1.24E+18,58.38710366,1.042581197,19.16212,17.093,16.05094,15.55777,15.18478,109,301,6,158,1.40E+18,0.07624648,1242,52901,610,GALAXY
1.24E+18,94.2294089,-0.815014642,18.88623,17.27294,16.53903,16.24986,16.07101,211,301,2,356,1.42E+18,0.000121665,1259,52931,261,STAR
1.24E+18,94.27762206,-0.755320069,18.95065,17.48265,16.79971,16.50744,16.321,211,301,2,356,1.42E+18,0.000161428,1259,52931,266,STAR
1.24E+18,94.31534394,-0.794915604,18.42267,16.99002,16.80419,16.79098,16.73958,211,301,2,356,1.42E+18,0.000123491,1259,52931,264,STAR
1.24E+18,94.45240165,-0.749188099,18.76311,16.92824,16.04853,15.66849,15.41004,211,301,2,357,1.42E+18,0.000240879,1259,52931,267,STAR
1.24E+18,94.50127999,-0.678069064,17.21126,15.77309,15.63974,15.6099,15.57807,211,301,2,357,1.42E+18,0.000142497,1259,52931,227,STAR
1.24E+18,94.52134906,-0.777349703,18.29582,16.84945,16.69723,16.65297,16.60486,211,301,2,357,1.42E+18,0.000221984,1259,52931,226,STAR
1.24E+18,94.59816769,-0.808046972,17.69048,16.2277,15.55298,15.21436,15.07537,211,301,2,358,1.42E+18,0.000149663,1259,52931,228,STAR
1.24E+18,94.61814792,-0.66228484,19.09701,17.50853,16.73632,16.4148,16.18377,211,301,2,358,1.42E+18,0.000187559,1259,52931,223,STAR
1.24E+18,94.79921525,-0.71803425,18.18349,16.83083,16.31066,16.07045,15.9258,211,301,2,359,1.42E+18,0.000209667,1259,52931,189,STAR
1.24E+18,94.80707075,-0.784310787,18.98625,17.44478,16.70986,16.41571,16.24832,211,301,2,359,1.42E+18,0.000338805,1259,52931,183,STAR
1.24E+18,94.87728201,-0.694199233,17.77287,16.39544,16.3232,16.32068,16.2927,211,301,2,360,1.42E+18,0.000247121,1259,52931,194,STAR
1.24E+18,94.89291904,-0.786350145,16.13102,15.06038,15.05153,15.11111,15.14127,211,301,2,360,1.42E+18,0.000225431,1259,52931,188,STAR
1.24E+18,94.97868188,-0.745533248,17.89055,16.60337,16.52952,16.5186,16.59143,211,301,2,361,1.42E+18,0.000207051,1259,52931,187,STAR
1.24E+18,95.03392948,-0.837347615,16.50166,15.11789,15.03928,15.0659,15.03292,211,301,2,361,1.42E+18,0.000166215,1259,52931,190,STAR
1.24E+18,95.1551946,-0.843977345,17.54474,16.16127,16.03158,16.02196,15.99772,211,301,2,362,1.42E+18,0.000211823,1259,52931,114,STAR
1.24E+18,95.17998742,-0.771518347,17.45889,15.98029,15.82043,15.79098,15.73588,211,301,2,362,1.42E+18,0.00022967,1259,52931,101,STAR
1.24E+18,95.27818926,-0.667144807,18.54749,17.00391,16.79292,16.7382,16.74872,211,301,2,363,1.42E+18,0.000224808,1259,52931,111,STAR
1.24E+18,95.29461979,-0.770239178,17.65411,16.35462,16.21856,16.20075,16.1491,211,301,2,363,1.42E+18,0.000207405,1259,52931,109,STAR
1.24E+18,95.37392372,-0.669620358,18.92712,17.32139,16.69336,16.39084,16.20947,211,301,2,363,1.42E+18,0.000108689,1259,52931,108,STAR
1.24E+18,95.38913714,-0.696795887,19.41454,17.72248,16.88767,16.50016,16.26299,211,301,2,363,1.42E+18,0.000103393,1259,52931,78,STAR
1.24E+18,95.46540854,-0.674161277,17.50525,15.96223,15.75266,15.67631,15.58548,211,301,2,364,1.42E+18,0.000207997,1259,52931,61,STAR
1.24E+18,95.53087151,-0.809520478,17.27261,15.78918,15.61693,15.58023,15.52732,211,301,2,364,1.42E+18,0.000233197,1259,52931,77,STAR
1.24E+18,95.58105263,-0.6966348,18.47498,17.00702,16.83681,16.78008,16.73579,211,301,2,365,1.42E+18,0.000178012,1259,52931,69,STAR
1.24E+18,95.57935266,-0.8373582,17.90279,16.60669,16.52864,16.53451,16.50865,211,301,2,365,1.42E+18,0.000182868,1259,52931,70,STAR
1.24E+18,95.67044221,-0.732763814,18.05414,16.52113,16.22412,16.10148,16.01921,211,301,2,365,1.42E+18,0.000200837,1259,52931,63,STAR
1.24E+18,95.71745525,-0.765201611,17.81958,16.31348,16.15306,16.11936,16.09383,211,301,2,365,1.42E+18,6.82E-05,1259,52931,39,STAR
1.24E+18,95.72428236,-0.827616881,19.49265,17.49824,16.55465,16.184,15.93531,211,301,2,366,1.42E+18,-1.76E-05,1259,52931,26,STAR
1.24E+18,95.87785317,-0.698427856,18.55442,17.01619,16.79355,16.71025,16.6396,211,301,2,367,1.42E+18,0.000206109,1259,52931,38,STAR
1.24E+18,94.18068055,-0.327037436,17.0576,15.68101,15.54066,15.52825,15.49747,211,301,3,355,1.42E+18,0.000182222,1259,52931,262,STAR
1.24E+18,94.206515,-0.250453215,17.75947,15.93541,15.20342,14.90988,14.80349,211,301,3,355,1.42E+18,0.000170225,1259,52931,263,STAR
1.24E+18,94.31040732,-0.350817495,18.40372,17.00472,16.82002,16.77738,16.71816,211,301,3,356,1.42E+18,0.000213747,1259,52931,269,STAR
1.24E+18,94.44859425,-0.405124282,19.39767,17.84605,17.53609,17.36269,17.20456,211,301,3,357,1.42E+18,0.000212927,1259,52931,239,STAR
1.24E+18,94.58458675,-0.386738888,17.77605,16.24682,16.03042,15.98274,15.91751,211,301,3,358,1.42E+18,0.000155589,1259,52931,229,STAR
1.24E+18,94.6165476,-0.259691551,18.12493,16.63912,16.46852,16.43781,16.36199,211,301,3,358,1.42E+18,0.000178901,1259,52931,237,STAR
1.24E+18,94.66619266,-0.343176952,18.31232,16.94638,16.75705,16.71778,16.64036,211,301,3,358,1.42E+18,0.000238684,1259,52931,230,STAR
1.24E+18,94.73941787,-0.374407231,19.08638,17.44947,17.00111,16.80118,16.68032,211,301,3,359,1.42E+18,0.000114981,1259,52931,182,STAR
1.24E+18,94.77492939,-0.391679946,18.20465,16.6988,16.4573,16.38941,16.33614,211,301,3,359,1.42E+18,0.000416505,1259,52931,200,STAR
1.24E+18,94.80742447,-0.277204981,19.49781,17.6787,16.85238,16.51066,16.2759,211,301,3,359,1.42E+18,5.13E-05,1259,52931,184,STAR
1.24E+18,95.07755638,-0.290459391,17.22509,15.77146,15.59161,15.55585,15.50042,211,301,3,361,1.42E+18,0.000165845,1259,52931,191,STAR
1.24E+18,95.18313395,-0.308713749,18.38002,16.82186,16.52601,16.45241,16.32835,211,301,3,362,1.42E+18,0.000207139,1259,52931,105,STAR
1.24E+18,95.21244192,-0.345855621,15.81278,15.12947,15.04509,15.07348,15.10085,211,301,3,362,1.42E+18,0.000249835,1259,52931,103,STAR
1.24E+18,95.24923325,-0.362777629,18.02168,16.49434,16.24171,16.16198,16.07209,211,301,3,362,1.42E+18,0.000256064,1259,52931,116,STAR
